replicate_id,u_seal_door,h_star_1_seal_door,peak_h_in_m,peak_h_basement_m,peak_h_sump_m,peak_h_ext_m,total_volume_in_m3
0,0.7739560485559633,0.6265256522265825,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
1,0.4388784397520523,0.47745221558329,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
2,0.8585979199113825,0.6900889456600146,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
3,0.6973680290593639,0.5838603221504796,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
4,0.09417734788764953,0.336961780254254,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
5,0.9756223516367559,0.9030931554154871,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
6,0.761139701990353,0.6186873991089895,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
7,0.7860643052769538,0.6342606074760121,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
8,0.12811363267554587,0.3556695503893209,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
9,0.45038593789556713,0.48164252900016336,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
10,0.37079802423258124,0.45290661131148713,0.05396130743231127,0.0,0.0,0.5,2.6980653716155634
11,0.9267649888486018,0.7729714988168801,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
12,0.6438651200806645,0.5584979420090505,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
13,0.82276161327083,0.6600993294633796,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
14,0.44341419882733113,0.47910152861208544,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
15,0.2272387217847769,0.399501170777544,0.12835530816810917,0.0,0.0,0.5,6.417765408405459
16,0.5545847870158348,0.5210177695124044,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
17,0.06381725610417532,0.3165746644039349,0.19955386169218736,0.0,0.0,0.5,9.977693084609369
18,0.8276311719925821,0.6638537099275934,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
19,0.6316643991220648,0.5530716362857802,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
20,0.7580877400853738,0.6168694892175604,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
21,0.35452596812986836,0.4470494420143652,0.07394491522331882,0.0,0.0,0.5,3.6972457611659406
22,0.9706980243949033,0.8817900028293284,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
23,0.8931211213221977,0.7260346415944433,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
24,0.7783834970737619,0.6293148371715532,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
25,0.19463870785196757,0.3861900261376023,0.12835530816810917,0.0,0.0,0.5,6.417765408405459
26,0.4667210037270342,0.4876283715713907,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
27,0.04380376578722878,0.2995141047289768,0.21059612127866598,0.0,0.0,0.5,10.5298060639333
28,0.15428949206754783,0.3683912724361725,0.14460078061986337,0.0,0.0,0.5,7.2300390309931695
29,0.6830489532424546,0.576791385537029,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
30,0.7447621559078171,0.6091333761874579,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
31,0.96750973243421,0.8697672962535845,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
32,0.32582535813815194,0.4366653210688659,0.07394491522331882,0.0,0.0,0.5,3.6972457611659406
33,0.3704597060348689,0.4527849475589263,0.05396130743231127,0.0,0.0,0.5,2.6980653716155634
34,0.4695558112758079,0.48867231544337086,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
35,0.1894713590842857,0.3840045055065232,0.12835530816810917,0.0,0.0,0.5,6.417765408405459
36,0.12992150533547164,0.35658741752043305,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
37,0.47570492622593374,0.49094257976638916,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
38,0.2269093490508841,0.39937024996711484,0.12835530816810917,0.0,0.0,0.5,6.417765408405459
39,0.6698139946825103,0.5704514020126712,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
40,0.43715191887233074,0.4768251504158359,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
41,0.8326781960578374,0.6678402041944282,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
42,0.7002651020022491,0.585319022531129,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
43,0.31236664138204107,0.4317566661130518,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
44,0.8322598013952011,0.6675058999076466,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
45,0.8047643574968019,0.6469292891936682,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
46,0.38747837903017446,0.45890301853330806,0.05396130743231127,0.0,0.0,0.5,2.6980653716155634
47,0.2883281039302441,0.42289563386562296,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
48,0.6824955039749755,0.5765226677113041,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
49,0.1397524836093098,0.3614697939625796,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
50,0.19990820247510832,0.3883951879430248,0.12835530816810917,0.0,0.0,0.5,6.417765408405459
51,0.007362269751005512,0.2405391488044281,0.23569183157663734,0.0,0.0,0.5,11.784591578831868
52,0.7869243775021384,0.6348232250401112,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
53,0.6648508565920321,0.5681183143721856,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
54,0.7051653786263351,0.58780938441442,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
55,0.7807290310219679,0.630810446560106,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
56,0.45891577553833995,0.4847621809268383,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
57,0.5687411959528937,0.5266621035411114,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
58,0.13979699812765745,0.36149150615029074,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
59,0.11453007353597344,0.34854699692857344,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
60,0.6684029617904717,0.5697857178948691,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
61,0.4710962061431325,0.4892402746394445,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
62,0.5652361064811888,0.5252559125138229,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
63,0.7649988574160256,0.6210121820478627,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
64,0.6347183200005908,0.5544191385386595,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
65,0.5535794006579958,0.5206203525338899,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
66,0.5592071607454135,0.5228506791720873,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
67,0.3039500980626122,0.42866947701032515,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
68,0.030817834567939406,0.2854125892265691,0.21059612127866598,0.0,0.0,0.5,10.5298060639333
69,0.43671738923236236,0.4766673928975253,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
70,0.2145846728195292,0.394422998991288,0.12835530816810917,0.0,0.0,0.5,6.417765408405459
71,0.40852864372463615,0.466476970509873,0.05396130743231127,0.0,0.0,0.5,2.6980653716155634
72,0.8534030732681661,0.6853642076553211,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
73,0.23393948586534075,0.40215105271588397,0.1111540731149403,0.0,0.0,0.5,5.557703655747016
74,0.05830274168906602,0.31226538810545745,0.19955386169218736,0.0,0.0,0.5,9.977693084609369
75,0.28138389202199654,0.42030788584949674,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
76,0.2935937577666836,0.42484875906359204,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
77,0.6619165147268951,0.5667497759208511,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
78,0.5570321523412783,0.5219870385214193,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
79,0.7838982091064135,0.6328516480526937,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
80,0.6643135403273875,0.5678671219799352,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
81,0.4063868614400705,0.4657054328340162,0.05396130743231127,0.0,0.0,0.5,2.6980653716155634
82,0.8140203846660347,0.6535708413274794,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
83,0.1669729199077039,0.37418455339157886,0.14460078061986337,0.0,0.0,0.5,7.2300390309931695
84,0.022712073133860478,0.2743477537563968,0.22042509419742062,0.0,0.0,0.5,11.021254709871034
85,0.09004786077564175,0.33444417966836615,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
86,0.7223593505964503,0.5967913391381656,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
87,0.4618772302513874,0.4858483041787094,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
88,0.1612717790336018,0.3716062273696979,0.14460078061986337,0.0,0.0,0.5,7.2300390309931695
89,0.5010447751033635,0.5003929842269711,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
90,0.15231210271316842,0.3674686006972733,0.14460078061986337,0.0,0.0,0.5,7.2300390309931695
91,0.696320375077736,0.5833352571172954,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
92,0.4461562755740307,0.48010005086412,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
93,0.3810212260964825,0.4565819330433766,0.05396130743231127,0.0,0.0,0.5,2.6980653716155634
94,0.3015120891478765,0.4277723411195431,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
95,0.6302825931188885,0.5524642174594332,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
96,0.3618126105533904,0.4496739271318737,0.07394491522331882,0.0,0.0,0.5,3.6972457611659406
97,0.087649919316101,0.33295163073474154,0.18738362676399542,0.0,0.0,0.5,9.369181338199772
98,0.11800590212051532,0.35040997178677924,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
99,0.9618976645495145,0.8511187157157497,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
100,0.908580690707607,0.7456287272340993,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
101,0.6997071338107496,0.5850373047144958,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
102,0.2658699614595196,0.41447076303070557,0.1111540731149403,0.0,0.0,0.5,5.557703655747016
103,0.9691763773477239,0.8759030632172942,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
104,0.7787509039657946,0.6295482761652161,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
105,0.7168901891589956,0.5938913980542112,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
106,0.44936150214378867,0.48126867793581246,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
107,0.272241561845159,0.41687808155539946,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
108,0.0963909621534993,0.33828545035186597,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
109,0.9026023965438417,0.7377205784783208,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
110,0.45577628983361107,0.48361250381570975,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
111,0.20236336479523032,0.3894148878391541,0.12835530816810917,0.0,0.0,0.5,6.417765408405459
112,0.3059566241506525,0.4294068351550372,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
113,0.579219568941896,0.5309019240783772,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
114,0.1767727829392317,0.37852718664925794,0.14460078061986337,0.0,0.0,0.5,7.2300390309931695
115,0.8566142840923755,0.6882673708994186,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
116,0.7585195298352101,0.6171256010410925,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
117,0.7194629559509368,0.5952503998459114,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
118,0.4320930397751037,0.47498998515915164,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
119,0.6273088407024432,0.5511617540473864,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
120,0.5840979689127356,0.5328951072526812,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
121,0.64984660155482,0.5612014910484611,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
122,0.08444432113988909,0.330918797434176,0.18738362676399542,0.0,0.0,0.5,9.369181338199772
123,0.41580740217060963,0.46910133162396656,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
124,0.04161417386189248,0.29735654218231666,0.21059612127866598,0.0,0.0,0.5,10.5298060639333
125,0.49399081924451893,0.4977455948671916,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
126,0.3298612123327853,0.43813153295885776,0.07394491522331882,0.0,0.0,0.5,3.6972457611659406
127,0.1445241888660469,0.3637783086874586,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
128,0.10340296772255164,0.34236895491787855,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
129,0.587644572177712,0.5343521743067424,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
130,0.1705929685368861,0.3758013631876675,0.14460078061986337,0.0,0.0,0.5,7.2300390309931695
131,0.9251201183767972,0.7702554888932196,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
132,0.581061139700395,0.5316528618390566,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
133,0.34686980453483707,0.4442877904141818,0.07394491522331882,0.0,0.0,0.5,3.6972457611659406
134,0.5909154914814168,0.5357021282599571,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
135,0.022803871029697498,0.2744876865117115,0.22042509419742062,0.0,0.0,0.5,11.021254709871034
136,0.9585592132414453,0.8412339816367311,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
137,0.48230343694290023,0.493388116851986,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
138,0.7827352272502862,0.6320998345627157,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
139,0.08272999992243857,0.3298130701554864,0.18738362676399542,0.0,0.0,0.5,9.369181338199772
140,0.48665833083816035,0.4950077633695987,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
141,0.4907069943545209,0.4965177500022891,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
142,0.9378264549749828,0.7928564819517737,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
143,0.5717280523760754,0.5278650742657336,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
144,0.4734894010569538,0.4901236657420051,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
145,0.2669756630918936,0.41488958043483587,0.1111540731149403,0.0,0.0,0.5,5.557703655747016
146,0.3315689973425522,0.4387512640626628,0.07394491522331882,0.0,0.0,0.5,3.6972457611659406
147,0.5206724024715378,0.5078369697490783,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
148,0.4389114603050467,0.47746421238536085,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
149,0.021612079880330426,0.27263853321515213,0.22042509419742062,0.0,0.0,0.5,11.021254709871034
150,0.8262919241943578,0.6628123851627769,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
151,0.8961607718397667,0.7296759531087578,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
152,0.14024908899861077,0.3617118238360128,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
153,0.5540361435390494,0.5208008428078204,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
154,0.10857574113544355,0.3452838027982535,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
155,0.6722400930398117,0.5716004639300841,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
156,0.2812337838390083,0.4202517887825721,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
157,0.6594226346919018,0.5655928484595686,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
158,0.7269946142868826,0.5992822505540528,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
159,0.768647491917657,0.6232377604627638,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
160,0.10774094595589656,0.34481862815256575,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
161,0.9160118451376079,0.7561416741251271,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
162,0.23021399089488082,0.40068092352293494,0.1111540731149403,0.0,0.0,0.5,5.557703655747016
163,0.03741255617617978,0.2929926827312141,0.21059612127866598,0.0,0.0,0.5,10.5298060639333
164,0.5548524693914834,0.5211236555224245,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
165,0.37092228386243875,0.4529512959189667,0.05396130743231127,0.0,0.0,0.5,2.6980653716155634
166,0.8297897431324132,0.6655465011488086,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
167,0.8082514720643018,0.6494003419010997,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
168,0.31713889282271535,0.43350084560952806,0.07394491522331882,0.0,0.0,0.5,3.6972457611659406
169,0.952899395069745,0.8260872075876401,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
170,0.2909178381401186,0.42385715221111253,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
171,0.5150571292317145,0.5056949266746265,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
172,0.25596509056760275,0.4106977513437026,0.1111540731149403,0.0,0.0,0.5,5.557703655747016
173,0.9360435700489633,0.7894396076009682,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
174,0.16460781758201815,0.3731198199241762,0.14460078061986337,0.0,0.0,0.5,7.2300390309931695
175,0.04491061939232899,0.30057751360594437,0.19955386169218736,0.0,0.0,0.5,9.977693084609369
176,0.43509706000303794,0.4760793409922927,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
177,0.992375564055837,1.0353887527323011,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
178,0.891677266254914,0.7243373950370354,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
179,0.7486080194569492,0.6113336268541016,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
180,0.8907924908785249,0.7233073180445102,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
181,0.8934466396978632,0.7264201213353836,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
182,0.5188583603864491,0.5071438310512016,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
183,0.315929051830793,0.43305907046996944,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
184,0.772012432110988,0.6253148645438914,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
185,0.6616612631677611,0.5666311038648267,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
186,0.37365772887371007,0.4539348797090817,0.05396130743231127,0.0,0.0,0.5,2.6980653716155634
187,0.09446666806151527,0.3371357811687455,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
188,0.746789611349026,0.6102901220516533,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
189,0.2624605159228647,0.4131764138167429,0.1111540731149403,0.0,0.0,0.5,5.557703655747016
190,0.9368131505337792,0.7909034729774498,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
191,0.24097057500568475,0.40490518467645265,0.1111540731149403,0.0,0.0,0.5,5.557703655747016
192,0.12275793241148603,0.35291071969020366,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
193,0.8311126721249061,0.6665929224503284,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
194,0.15328431662449404,0.3679229427580565,0.14460078061986337,0.0,0.0,0.5,7.2300390309931695
195,0.1792683081577391,0.3796162840264359,0.14460078061986337,0.0,0.0,0.5,7.2300390309931695
196,0.5993827915208435,0.5392250712888622,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
197,0.8745620408374645,0.7056190011527285,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
198,0.19643466571457324,0.3869441938336873,0.12835530816810917,0.0,0.0,0.5,6.417765408405459
199,0.31032367290009477,0.4310086539970386,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
200,0.7774048382411776,0.628694525171686,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
201,0.9718264260609674,0.8863486823232846,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
202,0.5007411862023423,0.50027875958209,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
203,0.14389750255125078,0.3634772589880596,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
204,0.013936287708201545,0.25849737459046734,0.2288965939225131,0.0,0.0,0.5,11.444829696125657
205,0.22965602999885526,0.4004600710626934,0.1111540731149403,0.0,0.0,0.5,5.557703655747016
206,0.13182221778652103,0.3575454511364253,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
207,0.6776586736128575,0.5741878372648209,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
208,0.12183250462853112,0.3524277420364654,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
209,0.506329931620633,0.5023857916686971,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
210,0.6942624356428865,0.5823075701127925,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
211,0.5811166092209024,0.531675508289435,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
212,0.19977565166005762,0.3883399987326086,0.12835530816810917,0.0,0.0,0.5,6.417765408405459
213,0.8041245261822627,0.6464798289169705,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
214,0.7154071296158017,0.5931121066439583,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
215,0.7389840039155418,0.6058745710140798,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
216,0.13105775155731325,0.3571609763903416,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
217,0.12375380365034461,0.35342835071895046,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
218,0.9275625510065076,0.774308761085144,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
219,0.39757819382494064,0.4625348457557467,0.05396130743231127,0.0,0.0,0.5,2.6980653716155634
220,0.30094869178093975,0.42756482800440326,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
221,0.4885840453515333,0.4957254573551025,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
222,0.6628642127635824,0.567190902734492,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
223,0.9556232570469699,0.8331478445559467,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
224,0.286446226882055,0.42219574996564935,0.09301288448826833,0.0,0.0,0.5,4.650644224413417
225,0.9248084293120271,0.7697470363303857,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
226,0.024859491386256316,0.27752082171171855,0.22042509419742062,0.0,0.0,0.5,11.021254709871034
227,0.5551980423268247,0.5212603988457194,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
228,0.6339751116810851,0.554090562175758,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
229,0.1058974037507533,0.3437843204066817,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
230,0.14033959706391264,0.3617558893004554,0.15987118116092028,0.0,0.0,0.5,7.993559058046015
231,0.41911431931630383,0.47029500301491023,0.033071614448064335,0.0,0.0,0.5,1.653580722403217
232,0.9662319121431817,0.8652641517971255,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
233,0.5960425532343728,0.5378303347675432,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
234,0.9330232216002112,0.7838484468778542,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
235,0.8043609156129707,0.6466457442934067,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
236,0.4673816015552915,0.4878714968739448,0.011284121815300306,0.0,0.0,0.5,0.5642060907650153
237,0.7847634492521874,0.6334130888813922,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
238,0.017836783976987736,0.26624567490180717,0.2288965939225131,0.0,0.0,0.5,11.444829696125657
239,0.10914399676573494,0.34559933972115225,0.17414241887111173,0.0,0.0,0.5,8.707120943555584
240,0.8294286148827363,0.6652620439146432,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
241,0.7968170883251617,0.6414298879917792,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
242,0.2326407419664337,0.40163942981083567,0.1111540731149403,0.0,0.0,0.5,5.557703655747016
243,0.5307695905990535,0.5117158367695612,9.003828789122245e-06,0.0,0.0,0.5,0.0004501914394561122
