case_id,depth_file,velocity_file,h_peak_ext,h_peak_int,dur_h010cm_min,dur_h020cm_min,dur_h030cm_min,dur_h040cm_min,dur_h050cm_min,dur_h060cm_min,dur_h070cm_min,dur_h080cm_min,dur_h090cm_min,dur_h100cm_min,dur_h110cm_min,dur_h120cm_min,dur_h130cm_min,dur_h140cm_min,dur_h150cm_min
88,depth_088.csv,velocity_088.csv,0.64,0.704,1065.0,793.0,619.0,481.0,359.0,235.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,depth_089.csv,velocity_089.csv,0.3344,0.3608,89.0,58.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,depth_090.csv,velocity_090.csv,0.7349,0.7885,1663.0,1263.0,1007.0,809.0,637.0,475.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,depth_091.csv,velocity_091.csv,0.5379,0.5748,13806.0,9353.0,6572.0,4410.0,2462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,depth_092.csv,velocity_092.csv,1.0338,1.0395,153.0,122.0,103.0,89.0,77.0,66.0,56.0,46.0,34.0,19.0,0.0,0.0,0.0,0.0,0.0
93,depth_093.csv,velocity_093.csv,0.2948,0.3049,91.0,54.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,depth_094.csv,velocity_094.csv,0.3901,0.3912,103.0,70.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,depth_095.csv,velocity_095.csv,0.372,0.3835,136.0,87.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,depth_096.csv,velocity_096.csv,0.1668,0.1695,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,depth_097.csv,velocity_097.csv,0.624,0.6537,9616.0,6631.0,4798.0,3420.0,2255.0,1123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,depth_098.csv,velocity_098.csv,0.6077,0.6457,86.0,66.0,52.0,38.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,depth_099.csv,velocity_099.csv,0.5017,0.5122,282.0,198.0,141.0,92.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,depth_100.csv,velocity_100.csv,0.419,0.452,11368.0,7172.0,4445.0,2075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
