case_id,replicate,depth_file,h_peak_ext,h_peak_int
3,36,depth_003.csv,0.2,0.0001
3,37,depth_003.csv,0.2,0.0001
3,38,depth_003.csv,0.2,0.0001
3,39,depth_003.csv,0.2,0.0001
3,40,depth_003.csv,0.2,0.0001
3,41,depth_003.csv,0.2,0.0001
3,42,depth_003.csv,0.2,0.0001
3,43,depth_003.csv,0.2,0.0001
3,44,depth_003.csv,0.2,0.0001
3,45,depth_003.csv,0.2,0.0001
3,46,depth_003.csv,0.2,0.0001
3,47,depth_003.csv,0.2,0.0001
3,48,depth_003.csv,0.2,0.0001
3,49,depth_003.csv,0.2,0.0001
4,0,depth_004.csv,0.25,0.0001
4,1,depth_004.csv,0.25,0.0001
4,2,depth_004.csv,0.25,0.0001
4,3,depth_004.csv,0.25,0.0001
4,4,depth_004.csv,0.25,0.0001
4,5,depth_004.csv,0.25,0.0001
4,6,depth_004.csv,0.25,0.0001
4,7,depth_004.csv,0.25,0.0001
4,8,depth_004.csv,0.25,0.0001
4,9,depth_004.csv,0.25,0.0001
4,10,depth_004.csv,0.25,0.0001
4,11,depth_004.csv,0.25,0.0001
4,12,depth_004.csv,0.25,0.0001
4,13,depth_004.csv,0.25,0.0001
4,14,depth_004.csv,0.25,0.0001
4,15,depth_004.csv,0.25,0.0001
4,16,depth_004.csv,0.25,0.0001
4,17,depth_004.csv,0.25,0.0001
4,18,depth_004.csv,0.25,0.0001
4,19,depth_004.csv,0.25,0.0001
4,20,depth_004.csv,0.25,0.0001
4,21,depth_004.csv,0.25,0.0001
4,22,depth_004.csv,0.25,0.0001
4,23,depth_004.csv,0.25,0.0001
4,24,depth_004.csv,0.25,0.0001
4,25,depth_004.csv,0.25,0.0001
4,26,depth_004.csv,0.25,0.0001
4,27,depth_004.csv,0.25,0.0001
4,28,depth_004.csv,0.25,0.0001
4,29,depth_004.csv,0.25,0.0001
4,30,depth_004.csv,0.25,0.0001
4,31,depth_004.csv,0.25,0.0001
4,32,depth_004.csv,0.25,0.0001
4,33,depth_004.csv,0.25,0.0001
4,34,depth_004.csv,0.25,0.0001
4,35,depth_004.csv,0.25,0.0001
4,36,depth_004.csv,0.25,0.0001
4,37,depth_004.csv,0.25,0.0001
4,38,depth_004.csv,0.25,0.0001
4,39,depth_004.csv,0.25,0.0001
4,40,depth_004.csv,0.25,0.0001
4,41,depth_004.csv,0.25,0.0001
4,42,depth_004.csv,0.25,0.0001
4,43,depth_004.csv,0.25,0.0001
4,44,depth_004.csv,0.25,0.0001
4,45,depth_004.csv,0.25,0.0001
4,46,depth_004.csv,0.25,0.0001
4,47,depth_004.csv,0.25,0.0001
4,48,depth_004.csv,0.25,0.0001
4,49,depth_004.csv,0.25,0.0001
5,0,depth_005.csv,0.3,0.0001
5,1,depth_005.csv,0.3,0.0001
5,2,depth_005.csv,0.3,0.0001
5,3,depth_005.csv,0.3,0.0001
5,4,depth_005.csv,0.3,0.0001
5,5,depth_005.csv,0.3,0.0001
5,6,depth_005.csv,0.3,0.0001
5,7,depth_005.csv,0.3,0.0001
5,8,depth_005.csv,0.3,0.0001
5,9,depth_005.csv,0.3,0.0001
5,10,depth_005.csv,0.3,0.0001
5,11,depth_005.csv,0.3,0.0001
5,12,depth_005.csv,0.3,0.0001
5,13,depth_005.csv,0.3,0.0001
5,14,depth_005.csv,0.3,0.0001
5,15,depth_005.csv,0.3,0.0001
5,16,depth_005.csv,0.3,0.0001
5,17,depth_005.csv,0.3,0.0001
5,18,depth_005.csv,0.3,0.0001
5,19,depth_005.csv,0.3,0.0001
5,20,depth_005.csv,0.3,0.0001
5,21,depth_005.csv,0.3,0.0001
5,22,depth_005.csv,0.3,0.0001
5,23,depth_005.csv,0.3,0.0001
5,24,depth_005.csv,0.3,0.0001
5,25,depth_005.csv,0.3,0.0001
5,26,depth_005.csv,0.3,0.0001
5,27,depth_005.csv,0.3,0.0001
5,28,depth_005.csv,0.3,0.0001
5,29,depth_005.csv,0.3,0.0001
5,30,depth_005.csv,0.3,0.0001
5,31,depth_005.csv,0.3,0.0001
5,32,depth_005.csv,0.3,0.0001
5,33,depth_005.csv,0.3,0.0001
5,34,depth_005.csv,0.3,0.0001
5,35,depth_005.csv,0.3,0.0001
5,36,depth_005.csv,0.3,0.0001
5,37,depth_005.csv,0.3,0.0001
5,38,depth_005.csv,0.3,0.0001
5,39,depth_005.csv,0.3,0.0001
5,40,depth_005.csv,0.3,0.0001
5,41,depth_005.csv,0.3,0.0001
5,42,depth_005.csv,0.3,0.0001
5,43,depth_005.csv,0.3,0.0001
5,44,depth_005.csv,0.3,0.0001
5,45,depth_005.csv,0.3,0.0001
5,46,depth_005.csv,0.3,0.0001
5,47,depth_005.csv,0.3,0.0001
5,48,depth_005.csv,0.3,0.0001
5,49,depth_005.csv,0.3,0.0001
6,0,depth_006.csv,0.35,0.0001
6,1,depth_006.csv,0.35,0.0001
6,2,depth_006.csv,0.35,0.0001
6,3,depth_006.csv,0.35,0.0001
6,4,depth_006.csv,0.35,0.0001
6,5,depth_006.csv,0.35,0.0001
6,6,depth_006.csv,0.35,0.0001
6,7,depth_006.csv,0.35,0.0001
6,8,depth_006.csv,0.35,0.0001
6,9,depth_006.csv,0.35,0.0001
6,10,depth_006.csv,0.35,0.0001
6,11,depth_006.csv,0.35,0.0001
6,12,depth_006.csv,0.35,0.0001
6,13,depth_006.csv,0.35,0.0001
6,14,depth_006.csv,0.35,0.0001
6,15,depth_006.csv,0.35,0.0001
6,16,depth_006.csv,0.35,0.0001
6,17,depth_006.csv,0.35,0.0001
6,18,depth_006.csv,0.35,0.0001
6,19,depth_006.csv,0.35,0.0001
6,20,depth_006.csv,0.35,0.0001
6,21,depth_006.csv,0.35,0.0001
6,22,depth_006.csv,0.35,0.0001
6,23,depth_006.csv,0.35,0.0001
6,24,depth_006.csv,0.35,0.0001
6,25,depth_006.csv,0.35,0.0001
6,26,depth_006.csv,0.35,0.0001
6,27,depth_006.csv,0.35,0.0001
6,28,depth_006.csv,0.35,0.0001
6,29,depth_006.csv,0.35,0.0001
6,30,depth_006.csv,0.35,0.0001
6,31,depth_006.csv,0.35,0.0001
6,32,depth_006.csv,0.35,0.0001
6,33,depth_006.csv,0.35,0.0001
6,34,depth_006.csv,0.35,0.0001
6,35,depth_006.csv,0.35,0.0001
6,36,depth_006.csv,0.35,0.0001
6,37,depth_006.csv,0.35,0.0001
6,38,depth_006.csv,0.35,0.0001
6,39,depth_006.csv,0.35,0.0001
6,40,depth_006.csv,0.35,0.0001
6,41,depth_006.csv,0.35,0.0001
6,42,depth_006.csv,0.35,0.0001
6,43,depth_006.csv,0.35,0.0001
6,44,depth_006.csv,0.35,0.0001
6,45,depth_006.csv,0.35,0.0001
6,46,depth_006.csv,0.35,0.0001
6,47,depth_006.csv,0.35,0.0001
6,48,depth_006.csv,0.35,0.0001
6,49,depth_006.csv,0.35,0.0001
7,0,depth_007.csv,0.4,0.0001
7,1,depth_007.csv,0.4,0.0001
7,2,depth_007.csv,0.4,0.0001
7,3,depth_007.csv,0.4,0.0001
7,4,depth_007.csv,0.4,0.0001
7,5,depth_007.csv,0.4,0.0001
7,6,depth_007.csv,0.4,0.0001
7,7,depth_007.csv,0.4,0.0001
7,8,depth_007.csv,0.4,0.0001
7,9,depth_007.csv,0.4,0.0001
7,10,depth_007.csv,0.4,0.0001
7,11,depth_007.csv,0.4,0.0001
7,12,depth_007.csv,0.4,0.0001
7,13,depth_007.csv,0.4,0.0001
7,14,depth_007.csv,0.4,0.0001
7,15,depth_007.csv,0.4,0.0001
7,16,depth_007.csv,0.4,0.0001
7,17,depth_007.csv,0.4,0.0001
7,18,depth_007.csv,0.4,0.0001
7,19,depth_007.csv,0.4,0.0001
7,20,depth_007.csv,0.4,0.0001
7,21,depth_007.csv,0.4,0.0001
7,22,depth_007.csv,0.4,0.0001
7,23,depth_007.csv,0.4,0.0001
7,24,depth_007.csv,0.4,0.0001
7,25,depth_007.csv,0.4,0.0001
7,26,depth_007.csv,0.4,0.0001
7,27,depth_007.csv,0.4,0.0001
7,28,depth_007.csv,0.4,0.0001
7,29,depth_007.csv,0.4,0.0001
7,30,depth_007.csv,0.4,0.0001
7,31,depth_007.csv,0.4,0.0001
7,32,depth_007.csv,0.4,0.0001
7,33,depth_007.csv,0.4,0.0001
7,34,depth_007.csv,0.4,0.0001
7,35,depth_007.csv,0.4,0.0001
7,36,depth_007.csv,0.4,0.0001
7,37,depth_007.csv,0.4,0.0001
7,38,depth_007.csv,0.4,0.0001
7,39,depth_007.csv,0.4,0.0001
7,40,depth_007.csv,0.4,0.0001
7,41,depth_007.csv,0.4,0.0001
7,42,depth_007.csv,0.4,0.0001
7,43,depth_007.csv,0.4,0.0001
7,44,depth_007.csv,0.4,0.0001
7,45,depth_007.csv,0.4,0.0001
7,46,depth_007.csv,0.4,0.0001
7,47,depth_007.csv,0.4,0.0001
7,48,depth_007.csv,0.4,0.0001
7,49,depth_007.csv,0.4,0.0001
8,0,depth_008.csv,0.45,0.0001
8,1,depth_008.csv,0.45,0.0001
8,2,depth_008.csv,0.45,0.0001
8,3,depth_008.csv,0.45,0.0001
8,4,depth_008.csv,0.45,0.0157
8,5,depth_008.csv,0.45,0.0001
8,6,depth_008.csv,0.45,0.0001
8,7,depth_008.csv,0.45,0.0001
8,8,depth_008.csv,0.45,0.0157
8,9,depth_008.csv,0.45,0.0001
8,10,depth_008.csv,0.45,0.0001
8,11,depth_008.csv,0.45,0.0001
8,12,depth_008.csv,0.45,0.0001
8,13,depth_008.csv,0.45,0.0001
8,14,depth_008.csv,0.45,0.0001
8,15,depth_008.csv,0.45,0.0001
8,16,depth_008.csv,0.45,0.0001
8,17,depth_008.csv,0.45,0.046
8,18,depth_008.csv,0.45,0.0001
8,19,depth_008.csv,0.45,0.0001
8,20,depth_008.csv,0.45,0.0001
8,21,depth_008.csv,0.45,0.0001
8,22,depth_008.csv,0.45,0.0001
8,23,depth_008.csv,0.45,0.0001
8,24,depth_008.csv,0.45,0.0001
8,25,depth_008.csv,0.45,0.0001
8,26,depth_008.csv,0.45,0.0001
8,27,depth_008.csv,0.45,0.046
8,28,depth_008.csv,0.45,0.0001
8,29,depth_008.csv,0.45,0.0001
8,30,depth_008.csv,0.45,0.0001
8,31,depth_008.csv,0.45,0.0001
8,32,depth_008.csv,0.45,0.0001
8,33,depth_008.csv,0.45,0.0001
8,34,depth_008.csv,0.45,0.0001
8,35,depth_008.csv,0.45,0.0001
8,36,depth_008.csv,0.45,0.0157
8,37,depth_008.csv,0.45,0.0001
8,38,depth_008.csv,0.45,0.0001
8,39,depth_008.csv,0.45,0.0001
8,40,depth_008.csv,0.45,0.0001
8,41,depth_008.csv,0.45,0.0001
8,42,depth_008.csv,0.45,0.0001
8,43,depth_008.csv,0.45,0.0001
8,44,depth_008.csv,0.45,0.0001
8,45,depth_008.csv,0.45,0.0001
8,46,depth_008.csv,0.45,0.0001
8,47,depth_008.csv,0.45,0.0001
8,48,depth_008.csv,0.45,0.0001
8,49,depth_008.csv,0.45,0.0157
9,0,depth_009.csv,0.5,0.0001
9,1,depth_009.csv,0.5,0.0167
9,2,depth_009.csv,0.5,0.0001
9,3,depth_009.csv,0.5,0.0001
9,4,depth_009.csv,0.5,0.1107
9,5,depth_009.csv,0.5,0.0001
9,6,depth_009.csv,0.5,0.0001
9,7,depth_009.csv,0.5,0.0001
9,8,depth_009.csv,0.5,0.1107
9,9,depth_009.csv,0.5,0.0167
9,10,depth_009.csv,0.5,0.0167
9,11,depth_009.csv,0.5,0.0001
9,12,depth_009.csv,0.5,0.0001
9,13,depth_009.csv,0.5,0.0001
9,14,depth_009.csv,0.5,0.0167
9,15,depth_009.csv,0.5,0.0804
9,16,depth_009.csv,0.5,0.0001
9,17,depth_009.csv,0.5,0.1394
9,18,depth_009.csv,0.5,0.0001
9,19,depth_009.csv,0.5,0.0001
9,20,depth_009.csv,0.5,0.0001
9,21,depth_009.csv,0.5,0.049
9,22,depth_009.csv,0.5,0.0001
9,23,depth_009.csv,0.5,0.0001
9,24,depth_009.csv,0.5,0.0001
9,25,depth_009.csv,0.5,0.0804
9,26,depth_009.csv,0.5,0.0167
9,27,depth_009.csv,0.5,0.1394
9,28,depth_009.csv,0.5,0.0804
9,29,depth_009.csv,0.5,0.0001
9,30,depth_009.csv,0.5,0.0001
9,31,depth_009.csv,0.5,0.0001
9,32,depth_009.csv,0.5,0.049
9,33,depth_009.csv,0.5,0.0167
9,34,depth_009.csv,0.5,0.0167
9,35,depth_009.csv,0.5,0.0804
9,36,depth_009.csv,0.5,0.1107
9,37,depth_009.csv,0.5,0.0167
9,38,depth_009.csv,0.5,0.0804
9,39,depth_009.csv,0.5,0.0001
9,40,depth_009.csv,0.5,0.0167
9,41,depth_009.csv,0.5,0.0001
9,42,depth_009.csv,0.5,0.0001
9,43,depth_009.csv,0.5,0.049
9,44,depth_009.csv,0.5,0.0001
9,45,depth_009.csv,0.5,0.0001
9,46,depth_009.csv,0.5,0.0167
9,47,depth_009.csv,0.5,0.049
9,48,depth_009.csv,0.5,0.0001
9,49,depth_009.csv,0.5,0.1107
10,0,depth_010.csv,0.55,0.0177
10,1,depth_010.csv,0.55,0.1172
10,2,depth_010.csv,0.55,0.0001
10,3,depth_010.csv,0.55,0.0519
10,4,depth_010.csv,0.55,0.202
10,5,depth_010.csv,0.55,0.0001
10,6,depth_010.csv,0.55,0.0177
10,7,depth_010.csv,0.55,0.0177
10,8,depth_010.csv,0.55,0.1758
10,9,depth_010.csv,0.55,0.1172
10,10,depth_010.csv,0.55,0.1172
10,11,depth_010.csv,0.55,0.0001
10,12,depth_010.csv,0.55,0.0519
10,13,depth_010.csv,0.55,0.0177
10,14,depth_010.csv,0.55,0.1172
10,15,depth_010.csv,0.55,0.1475
10,16,depth_010.csv,0.55,0.0851
10,17,depth_010.csv,0.55,0.202
10,18,depth_010.csv,0.55,0.0177
10,19,depth_010.csv,0.55,0.0519
10,20,depth_010.csv,0.55,0.0177
10,21,depth_010.csv,0.55,0.1172
10,22,depth_010.csv,0.55,0.0001
10,23,depth_010.csv,0.55,0.0001
10,24,depth_010.csv,0.55,0.0177
10,25,depth_010.csv,0.55,0.1475
10,26,depth_010.csv,0.55,0.0851
10,27,depth_010.csv,0.55,0.2261
10,28,depth_010.csv,0.55,0.1758
10,29,depth_010.csv,0.55,0.0519
10,30,depth_010.csv,0.55,0.0177
10,31,depth_010.csv,0.55,0.0001
10,32,depth_010.csv,0.55,0.1172
10,33,depth_010.csv,0.55,0.1172
10,34,depth_010.csv,0.55,0.0851
10,35,depth_010.csv,0.55,0.1758
10,36,depth_010.csv,0.55,0.1758
10,37,depth_010.csv,0.55,0.0851
10,38,depth_010.csv,0.55,0.1475
10,39,depth_010.csv,0.55,0.0519
10,40,depth_010.csv,0.55,0.1172
10,41,depth_010.csv,0.55,0.0001
10,42,depth_010.csv,0.55,0.0519
10,43,depth_010.csv,0.55,0.1475
10,44,depth_010.csv,0.55,0.0001
10,45,depth_010.csv,0.55,0.0177
10,46,depth_010.csv,0.55,0.1172
10,47,depth_010.csv,0.55,0.1475
10,48,depth_010.csv,0.55,0.0519
10,49,depth_010.csv,0.55,0.1758
11,0,depth_011.csv,0.6,0.1233
11,1,depth_011.csv,0.6,0.185
11,2,depth_011.csv,0.6,0.0895
11,3,depth_011.csv,0.6,0.1233
11,4,depth_011.csv,0.6,0.2617
11,5,depth_011.csv,0.6,0.0001
11,6,depth_011.csv,0.6,0.1233
11,7,depth_011.csv,0.6,0.0895
11,8,depth_011.csv,0.6,0.2383
11,9,depth_011.csv,0.6,0.185
11,10,depth_011.csv,0.6,0.185
11,11,depth_011.csv,0.6,0.0546
11,12,depth_011.csv,0.6,0.1552
11,13,depth_011.csv,0.6,0.0895
11,14,depth_011.csv,0.6,0.185
11,15,depth_011.csv,0.6,0.2127
11,16,depth_011.csv,0.6,0.1552
11,17,depth_011.csv,0.6,0.2617
11,18,depth_011.csv,0.6,0.0895
11,19,depth_011.csv,0.6,0.1552
11,20,depth_011.csv,0.6,0.1233
11,21,depth_011.csv,0.6,0.185
11,22,depth_011.csv,0.6,0.0001
11,23,depth_011.csv,0.6,0.0546
11,24,depth_011.csv,0.6,0.1233
11,25,depth_011.csv,0.6,0.2383
11,26,depth_011.csv,0.6,0.185
11,27,depth_011.csv,0.6,0.2617
11,28,depth_011.csv,0.6,0.2383
11,29,depth_011.csv,0.6,0.1233
11,30,depth_011.csv,0.6,0.1233
11,31,depth_011.csv,0.6,0.0001
11,32,depth_011.csv,0.6,0.2127
11,33,depth_011.csv,0.6,0.185
11,34,depth_011.csv,0.6,0.185
11,35,depth_011.csv,0.6,0.2383
11,36,depth_011.csv,0.6,0.2383
11,37,depth_011.csv,0.6,0.185
11,38,depth_011.csv,0.6,0.2127
11,39,depth_011.csv,0.6,0.1233
11,40,depth_011.csv,0.6,0.185
11,41,depth_011.csv,0.6,0.0895
11,42,depth_011.csv,0.6,0.1233
11,43,depth_011.csv,0.6,0.2127
11,44,depth_011.csv,0.6,0.0895
11,45,depth_011.csv,0.6,0.0895
11,46,depth_011.csv,0.6,0.185
11,47,depth_011.csv,0.6,0.2127
11,48,depth_011.csv,0.6,0.1233
