case,h_peak,t_peak,alpha,recession_ratio,n_steps
149,0.9,480,2.5,2.5,1685
150,0.9,480,2.5,4.0,2405
151,0.9,480,4.0,1.5,1205
152,0.9,480,4.0,2.5,1685
153,0.9,480,4.0,4.0,2405
154,0.9,960,1.5,1.5,2405
155,0.9,960,1.5,2.5,3365
156,0.9,960,1.5,4.0,4805
157,0.9,960,2.5,1.5,2405
158,0.9,960,2.5,2.5,3365
159,0.9,960,2.5,4.0,4805
160,0.9,960,4.0,1.5,2405
161,0.9,960,4.0,2.5,3365
162,0.9,960,4.0,4.0,4805
163,1.2,60,1.5,1.5,155
164,1.2,60,1.5,2.5,215
165,1.2,60,1.5,4.0,305
166,1.2,60,2.5,1.5,155
167,1.2,60,2.5,2.5,215
168,1.2,60,2.5,4.0,305
169,1.2,60,4.0,1.5,155
170,1.2,60,4.0,2.5,215
171,1.2,60,4.0,4.0,305
172,1.2,480,1.5,1.5,1205
173,1.2,480,1.5,2.5,1685
174,1.2,480,1.5,4.0,2405
175,1.2,480,2.5,1.5,1205
176,1.2,480,2.5,2.5,1685
177,1.2,480,2.5,4.0,2405
178,1.2,480,4.0,1.5,1205
179,1.2,480,4.0,2.5,1685
180,1.2,480,4.0,4.0,2405
181,1.2,960,1.5,1.5,2405
182,1.2,960,1.5,2.5,3365
183,1.2,960,1.5,4.0,4805
184,1.2,960,2.5,1.5,2405
185,1.2,960,2.5,2.5,3365
186,1.2,960,2.5,4.0,4805
187,1.2,960,4.0,1.5,2405
188,1.2,960,4.0,2.5,3365
189,1.2,960,4.0,4.0,4805
190,1.5,60,1.5,1.5,155
191,1.5,60,1.5,2.5,215
192,1.5,60,1.5,4.0,305
193,1.5,60,2.5,1.5,155
194,1.5,60,2.5,2.5,215
195,1.5,60,2.5,4.0,305
196,1.5,60,4.0,1.5,155
197,1.5,60,4.0,2.5,215
198,1.5,60,4.0,4.0,305
199,1.5,480,1.5,1.5,1205
200,1.5,480,1.5,2.5,1685
201,1.5,480,1.5,4.0,2405
202,1.5,480,2.5,1.5,1205
203,1.5,480,2.5,2.5,1685
204,1.5,480,2.5,4.0,2405
205,1.5,480,4.0,1.5,1205
206,1.5,480,4.0,2.5,1685
