case_id,depth_file,velocity_file,h_peak_ext,h_peak_int,dur_h010cm_min,dur_h020cm_min,dur_h030cm_min,dur_h040cm_min,dur_h050cm_min,dur_h060cm_min,dur_h070cm_min,dur_h080cm_min,dur_h090cm_min,dur_h100cm_min,dur_h110cm_min,dur_h120cm_min,dur_h130cm_min,dur_h140cm_min,dur_h150cm_min
1,depth_001.csv,velocity_001.csv,0.7257,0.7384,1209.0,882.0,607.0,280.0,208.0,141.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,depth_002.csv,velocity_002.csv,0.4505,0.453,939.0,629.0,373.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,depth_003.csv,velocity_003.csv,0.813,0.817,19212.0,14367.0,11328.0,9155.0,7210.0,5407.0,3593.0,1234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,depth_004.csv,velocity_004.csv,1.5156,0.5296,106.0,101.0,96.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,depth_005.csv,velocity_005.csv,0.419,0.4423,1474.0,889.0,565.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,depth_006.csv,velocity_006.csv,0.4189,0.4206,1696.0,1043.0,614.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,depth_007.csv,velocity_007.csv,1.6335,1.1767,241.0,234.0,227.0,128.0,111.0,95.0,81.0,65.0,51.0,36.0,20.0,0.0,0.0,0.0,0.0
8,depth_008.csv,velocity_008.csv,0.887,0.948,1075.0,793.0,539.0,252.0,203.0,160.0,120.0,80.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
9,depth_009.csv,velocity_009.csv,0.3518,0.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,depth_010.csv,velocity_010.csv,0.7502,0.757,1288.0,957.0,677.0,344.0,266.0,194.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,depth_011.csv,velocity_011.csv,0.353,0.3266,2057.0,1184.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,depth_012.csv,velocity_012.csv,0.3515,0.0266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,depth_013.csv,velocity_013.csv,0.5987,0.6024,1143.0,823.0,554.0,236.0,162.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,depth_014.csv,velocity_014.csv,0.119,0.111,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,depth_015.csv,velocity_015.csv,0.137,0.1342,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,depth_016.csv,velocity_016.csv,0.328,0.1858,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,depth_017.csv,velocity_017.csv,0.234,0.2231,1512.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
