replicate_id,u_membrane:1,h_star_1_membrane:1,peak_h_in_m,peak_h_basement_m,peak_h_sump_m,peak_h_ext_m,total_volume_in_m3
0,0.7739560485559633,0.5390465721345793,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
1,0.4388784397520523,0.49236817504171343,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
2,0.8585979199113825,0.5566920591603851,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
3,0.6973680290593639,0.5265217592807774,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
4,0.09417734788764953,0.43836938645055074,0.11070701572006868,0.0,0.0,0.5,5.535350786003433
5,0.9756223516367559,0.6089161878704564,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
6,0.761139701990353,0.5367891881479853,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
7,0.7860643052769538,0.541255824183305,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
8,0.12811363267554587,0.4463363232280189,0.11070701572006868,0.0,0.0,0.5,5.535350786003433
9,0.45038593789556713,0.4938043889026211,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
10,0.37079802423258124,0.4837818337319114,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
11,0.9267649888486018,0.5781419680406918,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
12,0.6438651200806645,0.5187847428638562,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
13,0.82276161327083,0.5485081691605892,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
14,0.44341419882733113,0.49293446973265664,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
15,0.2272387217847769,0.46396585642039245,0.08036938540308841,0.0,0.0,0.5,4.0184692701544185
16,0.5545847870158348,0.5069099874022478,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
17,0.06381725610417532,0.4293439899637114,0.1394177690124343,0.0,0.0,0.5,6.9708884506217155
18,0.8276311719925821,0.5495461020792616,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
19,0.6316643991220648,0.5170991197197693,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
20,0.7580877400853738,0.5362629171453043,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
21,0.35452596812986836,0.48168729179221254,0.04902529992419445,0.0,0.0,0.5,2.4512649962097233
22,0.9706980243949033,0.604090111173046,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
23,0.8931211213221977,0.5661946792911507,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
24,0.7783834970737619,0.5398453023866037,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
25,0.19463870785196757,0.45875451760237856,0.08036938540308841,0.0,0.0,0.5,4.0184692701544185
26,0.4667210037270342,0.4958416357457979,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
27,0.04380376578722878,0.42148853187427515,0.1394177690124343,0.0,0.0,0.5,6.9708884506217155
28,0.15428949206754783,0.45159568177069087,0.08036938540308841,0.0,0.0,0.5,4.0184692701544185
29,0.6830489532424546,0.5243882172337331,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
30,0.7447621559078171,0.5340117360628465,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
31,0.96750973243421,0.6013320627736817,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
32,0.32582535813815194,0.47792847191467175,0.04902529992419445,0.0,0.0,0.5,2.4512649962097233
33,0.3704597060348689,0.48373851061038875,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
34,0.4695558112758079,0.49619522597580074,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
35,0.1894713590842857,0.4578874878190119,0.08036938540308841,0.0,0.0,0.5,4.0184692701544185
36,0.12992150533547164,0.44671994292016315,0.11070701572006868,0.0,0.0,0.5,5.535350786003433
37,0.47570492622593374,0.4969624437957615,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
38,0.2269093490508841,0.4639151686903433,0.08036938540308841,0.0,0.0,0.5,4.0184692701544185
39,0.6698139946825103,0.5224598084245955,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
40,0.43715191887233074,0.4921525288920527,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
41,0.8326781960578374,0.5506439301549648,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
42,0.7002651020022491,0.5269598770596198,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
43,0.31236664138204107,0.476130884799794,0.04902529992419445,0.0,0.0,0.5,2.4512649962097233
44,0.8322598013952011,0.5505520352428457,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
45,0.8047643574968019,0.5448357637697279,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
46,0.38747837903017446,0.48590754312906137,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
47,0.2883281039302441,0.47285109963185296,0.04902529992419445,0.0,0.0,0.5,2.4512649962097233
48,0.6824955039749755,0.5243067699064904,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
49,0.1397524836093098,0.448749530015602,0.11070701572006868,0.0,0.0,0.5,5.535350786003433
50,0.19990820247510832,0.45962603030948723,0.08036938540308841,0.0,0.0,0.5,4.0184692701544185
51,0.007362269751005512,0.39177969712396526,0.19074566738465032,0.0,0.0,0.5,9.537283369232513
52,0.7869243775021384,0.5414158162712812,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
53,0.6648508565920321,0.5217465661924958,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
54,0.7051653786263351,0.5277061732089194,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
55,0.7807290310219679,0.5402726237030143,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
56,0.45891577553833995,0.4948682371897582,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
57,0.5687411959528937,0.5087339169245739,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
58,0.13979699812765745,0.4487585147580046,0.11070701572006868,0.0,0.0,0.5,5.535350786003433
59,0.11453007353597344,0.44333680245951335,0.11070701572006868,0.0,0.0,0.5,5.535350786003433
60,0.6684029617904717,0.5222565024297764,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
61,0.4710962061431325,0.49638738578103986,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
62,0.5652361064811888,0.5082807391358845,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
63,0.7649988574160256,0.537460695030431,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
64,0.6347183200005908,0.5175187320931949,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
65,0.5535794006579958,0.5067810692921583,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
66,0.5592071607454135,0.507503718148267,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
67,0.3039500980626122,0.47499334321615644,0.04902529992419445,0.0,0.0,0.5,2.4512649962097233
68,0.030817834567939406,0.41476717439512106,0.16610201118277804,0.0,0.0,0.5,8.305100559138902
69,0.43671738923236236,0.49209824671225555,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
70,0.2145846728195292,0.46199160068533573,0.08036938540308841,0.0,0.0,0.5,4.0184692701544185
71,0.40852864372463615,0.48856618563710347,0.016697833189856424,0.0,0.0,0.5,0.8348916594928214
72,0.8534030732681661,0.5554186727136347,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
73,0.23393948586534075,0.4649894215483356,0.08036938540308841,0.0,0.0,0.5,4.0184692701544185
74,0.05830274168906602,0.42738697836653033,0.1394177690124343,0.0,0.0,0.5,6.9708884506217155
75,0.28138389202199654,0.4718846485424918,0.04902529992419445,0.0,0.0,0.5,2.4512649962097233
76,0.2935937577666836,0.4735779292859695,0.04902529992419445,0.0,0.0,0.5,2.4512649962097233
77,0.6619165147268951,0.5213272847799941,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
78,0.5570321523412783,0.5072241339331007,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
