time,external_level,interior_level
0.0,0.0,0.0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.002,0.0
7.0,0.004,0.0
8.0,0.006,0.0
9.0,0.008,0.0
10.0,0.01,0.0
11.0,0.012,0.0
12.0,0.014,0.0
13.0,0.016,0.0
14.0,0.018000000000000002,0.0
15.0,0.02,0.0
16.0,0.022,0.0
17.0,0.024,0.0
18.0,0.026,0.0
19.0,0.027999999999999997,0.0
20.0,0.03,0.0
21.0,0.032,0.0
22.0,0.034,0.0
23.0,0.036,0.0
24.0,0.038,0.0
25.0,0.04,0.0
26.0,0.042,0.0
27.0,0.044000000000000004,0.0
28.0,0.046,0.0
29.0,0.048,0.0
30.0,0.05,0.0
31.0,0.054000000000000006,0.0
32.0,0.058,0.0
33.0,0.062000000000000006,0.0
34.0,0.066,0.0
35.0,0.07,0.0
36.0,0.07200000000000001,0.0
37.0,0.07400000000000001,0.0
38.0,0.076,0.0
39.0,0.078,0.0
40.0,0.08,0.0
41.0,0.082,0.0
42.0,0.084,0.0
43.0,0.086,0.0
44.0,0.088,0.0
45.0,0.09,0.0
46.0,0.094,0.0
47.0,0.098,0.0
48.0,0.102,0.0
49.0,0.106,0.0
50.0,0.11,0.0
51.0,0.114,0.0
52.0,0.11800000000000001,0.0
53.0,0.122,0.0
54.0,0.126,0.0
55.0,0.13,0.0
56.0,0.134,0.0
57.0,0.138,0.0
58.0,0.142,0.0
59.0,0.146,0.0
60.0,0.15,0.007411035231329021
61.0,0.154,0.014737321548519972
62.0,0.158,0.021980009623449853
63.0,0.162,0.02914026101024301
64.0,0.166,0.03621924780251337
65.0,0.17,0.04321815226181838
66.0,0.17400000000000002,0.05013816641683236
67.0,0.17800000000000002,0.05698049163284529
68.0,0.182,0.06374633815130122
69.0,0.186,0.07043692459920897
70.0,0.19,0.07705347746838623
71.0,0.196,0.08365294844420573
72.0,0.202,0.09023576828781488
73.0,0.208,0.09680235902752948
74.0,0.214,0.10335313403365178
75.0,0.22,0.10988849809765552
76.0,0.224,0.11635244766078388
77.0,0.228,0.12274623005689443
78.0,0.23199999999999998,0.12907109802803607
79.0,0.236,0.13532830905420182
80.0,0.24,0.14151912465599426
81.0,0.246,0.1477042947816215
82.0,0.252,0.1538839815274933
83.0,0.258,0.16005834261551144
84.0,0.264,0.1662275314954593
85.0,0.27,0.17239169744587138
86.0,0.274,0.1784912481582764
87.0,0.278,0.1845274518657302
88.0,0.282,0.19050157827941994
89.0,0.286,0.19641489778770513
90.0,0.29,0.20226868063627018
91.0,0.296,0.20812703466855312
92.0,0.302,0.21398981357699878
93.0,0.308,0.2198568759505239
94.0,0.314,0.22572808509708644
95.0,0.32,0.2316033088735483
96.0,0.326,0.23748241952247676
97.0,0.332,0.24336529351555117
98.0,0.33799999999999997,0.24925181140325994
99.0,0.344,0.2551418576705915
100.0,0.35,0.2610353205984389
101.0,0.356,0.2669320921304542
102.0,0.362,0.27283206774510205
103.0,0.368,0.27873514633267726
104.0,0.374,0.2846412300770624
105.0,0.38,0.29055022434201383
106.0,0.388,0.296523652848438
107.0,0.396,0.3025588736411527
108.0,0.40399999999999997,0.308653404490865
109.0,0.412,0.31480490884257134
110.0,0.42,0.3210111834170665
111.0,0.426,0.3272113701369581
112.0,0.432,0.33340564295426744
113.0,0.438,0.33959417117361107
114.0,0.444,0.3457771195583733
115.0,0.45,0.35195464843545465
116.0,0.456,0.35812691379855505
117.0,0.462,0.36429406740995673
118.0,0.46799999999999997,0.37045625690077477
119.0,0.474,0.3766136258696476
120.0,0.48,0.38276631397984373
121.0,0.488,0.3889737269551256
122.0,0.496,0.3952337862884375
123.0,0.504,0.40154452579125655
124.0,0.512,0.4079040828847618
125.0,0.52,0.41431069079463667
126.0,0.526,0.42070566873579646
127.0,0.532,0.42708932906597874
128.0,0.538,0.4334619768334919
129.0,0.544,0.43982390989235903
130.0,0.55,0.44617541901855634
131.0,0.558,0.4525742684056978
132.0,0.5660000000000001,0.45901876565872335
133.0,0.574,0.46550730185389555
134.0,0.582,0.4720383457162718
135.0,0.59,0.4786104383403048
136.0,0.598,0.48522218839027353
137.0,0.606,0.4918722677260244
138.0,0.614,0.4985594074068817
139.0,0.622,0.5052823940328104
140.0,0.63,0.5120400663871935
141.0,0.638,0.5188313123500777
142.0,0.646,0.5256550660545813
143.0,0.654,0.5325103052624471
144.0,0.662,0.5393960489375599
145.0,0.67,0.5463113549986939
146.0,0.678,0.5532553182348745
147.0,0.686,0.5602270683685826
148.0,0.694,0.5672257682536354
149.0,0.702,0.5742506121959803
150.0,0.71,0.5813008243868716
151.0,0.718,0.588375657438977
152.0,0.726,0.5954743910169178
153.0,0.734,0.6025963305545848
154.0,0.742,0.6097408060523182
155.0,0.75,0.6169071709476996
156.0,0.756,0.6240436766734179
157.0,0.762,0.6311509669626483
158.0,0.768,0.638229676870064
159.0,0.774,0.6452804326832956
160.0,0.78,0.6523038518427685
161.0,0.782,0.6591950825149453
162.0,0.784,0.665955119889877
163.0,0.786,0.6725849907554767
164.0,0.788,0.6790857546617004
165.0,0.79,0.6854585051165192
166.0,0.792,0.6917043708118817
167.0,0.794,0.6978245168773075
168.0,0.796,0.7038201461581096
169.0,0.798,0.7096925005145095
170.0,0.8,0.7154428621370659
171.0,0.8,0.7210071345714275
172.0,0.8,0.7263852136321898
173.0,0.8,0.7315769875986053
174.0,0.8,0.7365823363611466
175.0,0.8,0.7414011304334882
176.0,0.8,0.7460332298021838
177.0,0.8,0.7504784825791337
178.0,0.8,0.7547367234125004
179.0,0.8,0.7588077715991467
180.0,0.8,0.7626914288247144
181.0,0.792,0.7659673283390656
182.0,0.784,0.7685369150992452
183.0,0.776,0.7701899896481658
184.0,0.768,0.7692945129704511
185.0,0.76,0.767449724535961
186.0,0.754,0.7652305577529747
187.0,0.748,0.7627187701291898
188.0,0.742,0.7599644448102724
189.0,0.736,0.7570022273713071
190.0,0.73,0.7538578617211306
191.0,0.722,0.7504424618336465
192.0,0.714,0.7467895675632645
193.0,0.706,0.7429249386485962
194.0,0.698,0.7388691343172462
195.0,0.69,0.7346390349307806
196.0,0.6819999999999999,0.7302488055934729
197.0,0.6739999999999999,0.725710540081128
198.0,0.666,0.7210347097045445
199.0,0.658,0.7162304870493615
200.0,0.65,0.7113059861314587
201.0,0.642,0.7062684448047721
202.0,0.634,0.7011243661225154
203.0,0.626,0.6958796298052375
204.0,0.618,0.6905395814758402
205.0,0.61,0.6851091050519647
206.0,0.604,0.679659462051838
207.0,0.598,0.6741913613299257
208.0,0.592,0.6687054809292761
209.0,0.586,0.6632024697631672
210.0,0.58,0.6576829491788307
211.0,0.572,0.652081757286366
212.0,0.564,0.6464027002089549
213.0,0.556,0.640649308415092
214.0,0.548,0.6348248662224836
215.0,0.54,0.6289324370946857
216.0,0.532,0.6229748854706221
217.0,0.524,0.616954895714057
218.0,0.516,0.6108749886530827
219.0,0.508,0.6047375360892534
220.0,0.5,0.5985447735854343
221.0,0.492,0.5922988117858519
222.0,0.484,0.5860016464776899
223.0,0.47600000000000003,0.5796551675682348
224.0,0.468,0.5732611671230672
225.0,0.46,0.5668213465876539
226.0,0.454,0.5603940419057755
227.0,0.448,0.5539789203030672
228.0,0.442,0.5475756566201927
229.0,0.436,0.5411839332016449
230.0,0.43,0.534803439782923
231.0,0.422,0.5283766451865051
232.0,0.414,0.5219051903396114
233.0,0.406,0.5153906363061656
234.0,0.398,0.5088344697710764
235.0,0.39,0.5022381080210034
236.0,0.384,0.49565831875894395
237.0,0.378,0.4890946815623055
238.0,0.372,0.48254678465219797
239.0,0.366,0.4760142248134683
240.0,0.36,0.46949660731066123
241.0,0.354,0.4629935458001521
242.0,0.348,0.4565046622386955
243.0,0.342,0.45002958678863203
244.0,0.336,0.4435679577199916
245.0,0.33,0.43711942130972814
246.0,0.324,0.4306836317383175
247.0,0.318,0.42426025098394354
248.0,0.312,0.4178489487144955
249.0,0.306,0.41144940217759135
250.0,0.3,0.4050612960888381
251.0,0.294,0.398684322518534
252.0,0.288,0.3923181807770094
253.0,0.28200000000000003,0.3859625772988004
254.0,0.276,0.37961722552583765
255.0,0.27,0.3732818457898313
256.0,0.264,0.3669561651940224
257.0,0.258,0.3606399174944655
258.0,0.252,0.3543328429810005
259.0,0.246,0.3480346883580645
260.0,0.24,0.341745206625487
261.0,0.236,0.335522725421676
262.0,0.23199999999999998,0.3293659814068542
263.0,0.228,0.3232737083104303
264.0,0.224,0.31724463769126005
265.0,0.22,0.31127749972026114
266.0,0.214,0.305309353592401
267.0,0.208,0.29934023039890995
268.0,0.202,0.2933701602623094
269.0,0.196,0.2873991723671942
270.0,0.19,0.28142729498999997
271.0,0.186,0.2755161779967897
272.0,0.182,0.26966455116288685
273.0,0.17800000000000002,0.2638711452738619
274.0,0.17400000000000002,0.258134692977208
275.0,0.17,0.2524539296460566
276.0,0.166,0.24682759425237333
277.0,0.162,0.24125443024694346
278.0,0.158,0.23573318644334487
279.0,0.154,0.2302626179030095
280.0,0.15,0.2248414868183992
