time,F_hydro_N,F_drag_N,F_total_N,M_overturn_Nm,H_net_m,H_wet_m,v_m_per_s,lever_hydro_m,lever_drag_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0.0
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0
240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24000000000000002,0.0,0.0
300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
360.0,0.0,0.8112000000000001,0.8112000000000001,0.0008112000000000002,0.0,0.002,0.26,0.0,0.001
420.0,0.0,1.7496000000000003,1.7496000000000003,0.0034992000000000005,0.0,0.004,0.27,0.0,0.002
480.0,0.0,2.8224000000000005,2.8224000000000005,0.008467200000000001,0.0,0.006,0.28,0.0,0.003
540.0,0.0,4.036800000000001,4.036800000000001,0.016147200000000004,0.0,0.008,0.29000000000000004,0.0,0.004
600.0,0.0,5.400000000000001,5.400000000000001,0.027000000000000007,0.0,0.01,0.30000000000000004,0.0,0.005
660.0,0.0,6.919200000000002,6.919200000000002,0.04151520000000001,0.0,0.012,0.31,0.0,0.006
720.0,0.0,8.601600000000001,8.601600000000001,0.06021120000000001,0.0,0.014,0.32,0.0,0.007
780.0,0.0,10.454400000000001,10.454400000000001,0.0836352,0.0,0.016,0.33,0.0,0.008
840.0,0.0,12.484800000000003,12.484800000000003,0.11236320000000004,0.0,0.018000000000000002,0.34,0.0,0.009000000000000001
900.0,0.0,14.699999999999998,14.699999999999998,0.147,0.0,0.02,0.35,0.0,0.01
960.0,0.0,17.1072,17.1072,0.18817919999999996,0.0,0.022,0.36,0.0,0.011
1020.0,0.0,19.713600000000003,19.713600000000003,0.23656320000000003,0.0,0.024,0.37,0.0,0.012
1080.0,0.0,22.526400000000002,22.526400000000002,0.2928432,0.0,0.026,0.38,0.0,0.013
